Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
PI320581982303861190430720,LA320581956202517937524736,常熟旭捷纤维制品有限公司（李国辉）违反操作规程或者安全管理规定作业案,"李国??""USER320500284036398716030976","USER320581601349826168229888""",常熟市支塘镇人民政府,,WS320581982302916603809792,,USER320581826507554010959872,,USER320581626423855816118272,24:52.0,13:45.0,,2,320500,24:52.0,30:38.0,320500,i,812730a7-5769-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500316932936731463680,LA320500316877882838224896,苏州新区寒山电力线路铁件配套厂未如实记录安全生产教育和培训情况案,"苏州新区寒山电力线路铁件配套??""USER3205057","USER3205069""",监察大队,,WS320500316930412326686720,111724,USER3205049,,USER3205058,06:21.0,22:29.0,,2,1,59:18.0,59:18.0,320500,u,5ecaca85-b314-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500898232321746931712,LA320500876751630530252800,昆山高林昌精密机械有限公司员工违反行车操作规程作业案,"王孝??""USER320500427413193543913472","USER320500788834003313496064""",张浦镇综合行政执法和安全生产监督管理办公??,WS320500898148252908523520,8579441,USER320500427398450875731968,,USER320500690270512634400768,34:35.0,12:05.0,,2,320500,34:35.0,45:05.0,320500,i,0cec3d99-a11c-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500601782908339884032,LA320500599889728279416832,昆山市玉山镇精拓达精密模具配件厂（经营者：王贵银）未将事故隐患排查治理情况如实记录??昆山市玉山镇精拓达精密模具配件厂,"USER320500283060850560864256,USER320500283060607526113280",昆山高新区综合行政执法局,,WS320500601731008273846272,4220191,USER320500474177041051160576,,USER320500283060101462364160,30:27.0,14:51.0,,2,320500,30:27.0,30:50.0,320500,u,614e0ad0-1e52-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI3205001014107989876936704,LA3205001008299785364443136,"苏州康鑫新材料有限公司生产经营单位未将事故隐患排查治理情况向从业人员通报??苏州康鑫新材料有限公??""USER320500807546965867892736","USER320500667003211072147456""",塘桥镇综合行政执法局,,WS3205001014095906204553216,,USER320500427038169343463424,,USER320500427033191761580032,43:07.0,03:25.0,,2,320500,43:07.0,08:52.0,320500,u,6d5784e2-9c8b-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500754384032581554176,LA320500747119782557388800,杨学良未对承包单位、承租单位的安全生产工作统一协调、管理案,"杨学??""USER3205216","USER320500326017391723024384""",苏州市相城区黄桥街道办事??,WS320500754383552782536704,7136292,USER320500339695750965366784,,USER320500326017074054828032,52:50.0,12:50.0,,2,320500,52:50.0,17:16.0,320500,u,3c9eb44b-6924-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500620559295104159744,LA320500616185334002094080,苏州市裕升起重机械有限公司生产经营单位违反《江苏省安全生产条例》进行高处作业、有限空间作业、临近高压输电线路作业、建筑物和构筑物拆除、大型检修等危险作业的案,"苏州市裕升起重机械有限公??""USER3205068MANUAL","USER3205060MANUAL""",苏州阳澄湖半岛旅游度假区应急管理局,,WS320500617284928551260160,4577052,USER3205006MANUAL,USER3205062MANUAL,USER3205057MANUAL,01:06.0,14:17.0,,2,320500,01:06.0,36:25.0,320500,i,fa2db7ae-472e-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500330289325705007104,LA320500329990686235430912,苏州市宽道模具机械有限公司生产经营单位未将事故隐患排查治理情况如实记录和生产经营单位未按照规定对从业人员进行安全生产教育和培训案," 苏州市宽道模具机械有限公??""USER3205057","USER3205069""",监察大队,,WS320500330288767006937088,173472,USER3205066,,USER3205058,11:53.0,58:35.0,,2,1,59:18.0,59:18.0,320500,u,f370035c-b305-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500616194680589127680,LA320500612324560276033536,苏州尊呈家具制造有限公司未采取措施消除事故隐患等案,"苏州尊呈家具制造有限公??""USER320500433656426867462144","USER320500551039388423819264""",盛泽镇综合执法局,,WS320500615228861629599744,4546500,USER320500449494922026815488,,USER320500505740908331798528,57:41.0,06:10.0,,2,320500,57:41.0,08:33.0,320500,i,fe4501ca-3dc0-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500588393847143272448,LA320500584674556308885504,苏州钢杰彩板科技有限公司拒不按照《江苏省工业企业安全生产风险报告规定》报告较大以上安全风险案,苏州钢杰彩板科技有限公司,"f2044890-ddfb-4c7d-9e76-d6dd6576fbaa,USER320500449160154865209344",二中??,WS320500588377131512238080,3837760,257ad41f-7422-43bc-9f6d-f8156d6eaa59,,f2044890-ddfb-4c7d-9e76-d6dd6576fbaa,47:06.0,13:39.0,,2,320500,47:06.0,48:34.0,320500,i,827f1fa9-013f-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585550687473924050944,LA320585539174479050313728,泰行包装科技（太仓）有限公司未进行较大以上安全风险公示案,泰行包装科技（太仓）有限公司,"USER320585391606113004425216,USER320585475714756330655744",高新??,WS320585550687307510845440,1086087,USER320585479284006546837504,,USER320585482914064599617536,35:26.0,13:48.0,USER320585482914064599617536,2,320500,06:52.0,02:49.0,320500,i,a0bbd3e2-af81-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320581781821938820452352,LA320581761967142626136064,常熟贝尔斯纺织品有限公司进行高处作业，应当安排专门人员进行现场安全管理，确保操作规程的遵守和安全措施的落实案,常熟贝尔斯纺织品有限公司,"USER320500284036398716030976,USER320581601349826168229888",支塘??,WS320581781821211528138752,2548394,USER320500360118553480794112,,USER320581626423855816118272,01:17.0,12:12.0,,2,320500,01:17.0,04:09.0,320500,i,ca14f33f-a4dc-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500342241454774554624,LA320500328560892394344448,太仓市东晖机械厂从业人员违反操作规程作业??太仓市东晖机械厂,"USER3205396,USER3205397",监察大队,,WS320500341276091219972096,256461,USER320500282825779513921536,,USER320500282818977359466496,45:22.0,48:21.0,,2,320500,23:26.0,23:26.0,320500,u,f3703116-b305-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500345576650685026304,LA320500331009140010782720,"苏州宇辉机械制造有限公司生产经营单位未按照规定对从业人员进行安全生产教育和培训生产经营单位未将事故隐患排查治理情况如实记录??苏州宇辉机械制造有限公??""USER3205207","USER320500327488270776668160""",望亭镇综合行政执法局,,WS320500345576382635446272,297009,USER320500327488098780844032,,USER320500280477721807556608,38:15.0,58:35.0,,2,1,14:41.0,14:41.0,320500,u,f3703fb5-b305-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320506425950953682767872,LA320506424154145985925120,苏州新源能精工科技有限公司生产经营单位未按照规定定期组织演练案,苏州新源能精工科技有限公司,"USER320500282468026647842816,USER320500282469056739545088",木渎镇人民政??,WS320506425941021780611072,730648,USER320500282473390768394240,,USER320500282467600644968448,37:02.0,11:24.0,,2,320500,37:02.0,43:09.0,320500,u,f372066b-b305-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585728543955976720384,LA320585726734957019402240,苏州恒流机械设备有限公司生产经营场所未设有符合紧急疏散需要的出口??苏州恒流机械设备有限公司,"USER320500282818108480032768,USER320585454935807166255104,USER3205397",办公??,WS320585727924135321145344,1844173,USER320585479284006546837504,,USER320500282818108480032768,33:36.0,14:44.0,,2,320500,33:36.0,28:25.0,320500,u,820c0a0c-3159-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320505444504168174981120,LA320505438625133502926848,"常熟市俊云金属管业有限公司进行危险作业，未履行安全管理职责；未按照规定对从业人员进行安全生产教育和培??常熟市俊云金属管业有限公??""USER320500370602410692841472","USER320500284036398716030976""",支塘镇综合行政执法局,,WS320505444504008317472768,852229,USER320500360118553480794112,,USER320500360121683551457280,20:53.0,11:16.0,USER320500360121683551457280,2,320500,21:05.0,15:16.0,320500,u,84bf1b1b-5e90-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500682866974702702592,LA320500677895253486735360,"倪春晓（张家港市华恒医药包装有限公司主要负责人）未设有符合紧急疏散需要、标志明显的出口、疏散通道??倪春??""USER3205342",USER3205331,"USER320500358291433188233216""",执法大队,,WS320500682178817149636608,5665605,USER3205323,,USER320500504700665809866752,29:35.0,11:31.0,,2,320500,29:35.0,06:20.0,320500,u,6b11d329-ce57-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320505503567184090370048,LA320505503131977273053184,苏州图美克机电设备有限公司未将事故隐患排查治理情况如实记录案,"苏州图美克机电设备有限公??""USER3205092","USER320500282564897215090688""",枫桥街道安监??,WS320505503566737648652288,862028,USER320500383257421998460928,,USER3205094,56:14.0,49:49.0,,2,320500,56:14.0,,320500,u,105e80d3-495a-11ec-b626-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500345849461206945792,LA320500332810384350121984,常熟市王四食品有限公司企业未按照《工贸企业有限空间作业安全管理与监督暂行规定》要求建立有限空间管理台账案,"常熟市王四食品有限公??""USER3205278","USER3205279""",监察大队,,WS320500345847038212050944,298047,USER3205275,,USER3205277,42:18.0,45:53.0,USER3205277,2,1,48:45.0,48:45.0,320500,u,f3704150-b305-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320585922048445764603904,LA320585918428277658357760,苏州宏达德泰纸业有限公司从业人员违反操作规程作业??苏州宏达德泰纸业有限公司,"USER3205392,USER320585371676593141059584",一中队,,WS320585922046077241135104,,USER320585479284006546837504,,USER3205392,51:21.0,03:28.0,,2,320500,51:21.0,03:29.0,320500,i,f450713c-d4f8-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585698481337782243328,LA320585691942386611261440,"太仓市鸿工金属制品厂（投资人：赵冰鸿）安全生产管理人员未履行《中华人民共和国安全生产法》规定的安全生产管理职责（未导致发生生产安全事故的）??陆未??""USER320500343703295648337920","USER3205426""",港区,,WS320585697763788539039744,1697150,USER320585479284006546837504,,USER3205426,35:29.0,10:37.0,,2,320500,35:29.0,50:02.0,320500,i,86b4a330-f021-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585741221957432774656,LA320585736933509825826816,太仓束捍机电科技有限公司生产经营场所未设有符合紧急疏散需要的出口??韩刚,"USER3205426,USER320500343703295648337920",港区,,WS320585740559849586167808,1909325,USER320585479284006546837504,,USER3205426,11:27.0,14:15.0,,2,320500,11:27.0,46:42.0,320500,i,49856069-4cda-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500604259789362434048,LA320500602449930174337024,江苏新南方通信线缆有限公司工业企业拒不按照《江苏省工业企业安全生产风险报告规定》报告较大以上安全风险案,江苏新南方通信线缆有限公司,"88a5c037-e992-4aea-ac34-afe0cee079b3,1ed91a27-9f14-4b6c-a54f-a8ecd1f4a5c4",四中??,WS320500604259575280963584,4276847,257ad41f-7422-43bc-9f6d-f8156d6eaa59,,88a5c037-e992-4aea-ac34-afe0cee079b3,32:41.0,14:46.0,,2,320500,32:41.0,40:24.0,320500,u,894f460a-23d2-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320505416593244718108672,LA320505400279606378106880,苏州富老头服饰有限公司未如实记录安全生产教育培训情况案,苏州富老头服饰有限公司,"USER320500284018605975146496,USER320500284018410575106048",梅李镇综合执法局,,WS320505416589422943801344,737603,USER320500283996870076796928,,USER320500283996556821008384,52:50.0,11:11.0,,2,320500,52:50.0,53:55.0,320500,u,f371c038-b305-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320585821783692543266816,LA320585816619995940261888,"从一特殊钢（苏州）有限公司生产经营场所未设有符合紧急疏散需要的出口??从一特殊钢（苏州）有限公??""USER320500287578151817580544","USER320585764143764158550016""",城厢??,WS320585820696466606526464,2151909,USER320585479284006546837504,,USER320585391600214043004928,35:01.0,10:41.0,,2,320500,35:01.0,58:23.0,320500,u,f53ca4c1-fb4c-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320500469105482343124992,LA320500466967715874082816,昆山丰科金属制品有限公司未如实记录安全生产教育和培训情况??昆山丰科金属制品有限公司,"USER320500432191383898427392,USER320500283045708154540032",昆山开发区综合执法局,,WS320500468086449862873088,1540811,USER320500432191861927448576,,USER320500428557875955109888,37:44.0,48:54.0,,2,320500,37:44.0,24:59.0,320500,i,84bc0148-5e90-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500574161600013930496,LA320500546729427803836416,江苏德昶电子科技有限公司进行登高作业未安排专门人员进行现场安全管理案,江苏德昶电子科技有限公司,"USER320500283063149605687296,USER320500424961021979922432",千灯镇综合行政执法局,,WS320500573914234153340928,3488397,USER320500283064011837149184,,USER320500283062886438277120,13:14.0,23:19.0,,2,320500,13:14.0,24:45.0,320500,i,0e73d50f-e29a-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500822141408029708288,LA320500814915728430862336,"乐扣乐扣日用品（苏州）有限公司安全管理员未与承租单位签订专门的安全生产管理协议且未在租赁合同中明确各自的安全生产管理职责??朱亚??""USER320500421238375480037376",USER3205025MANUAL,"USER320500490173166946095104""",高端制造与国际贸易区应急管理局,,WS320500817420764381712384,7880526,USER3205006MANUAL,USER320500490196554989178880,USER3205019MANUAL,16:27.0,07:14.0,,2,320500,16:27.0,08:33.0,320500,i,1f25475b-fc16-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500729288150836318208,LA320500725382438892605440,江苏恒盛药业有限公司未将危险化学品储存在专用仓库内、安全设备的安装不符合国家标准、未采取措施消除事故隐患??江苏恒盛药业有限公司,"USER3205354,USER3205363",执法大队,,WS320500728904691961827328,6719640,USER3205323,USER3205363,USER320500504700665809866752,50:46.0,14:33.0,,2,320500,50:46.0,,320500,i,d4ea5628-32eb-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500983031877331849216,LA320500969608226398015488,"张家港市宏源防锈包装材料厂未将危险化学品储存在专用仓库内??张家港市宏源防锈包装材料??""USER320500782249132084432896","USER3205363""",执法大队,,WS320500982996548969304064,9101667,USER3205323,,USER320500504700665809866752,37:44.0,13:43.0,,2,320500,37:44.0,14:17.0,320500,u,d59ca187-58fb-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320581756092253788704768,LA320581741319932486094848,"未对承租单位的安全生产统一协调、管??徐继??""USER320581508227599332282368","USER320500284030724246343680""",辛庄??,WS320581756092080891105280,2432135,USER320500373423181886656512,,USER320500283997279742857216,00:42.0,13:26.0,,2,320500,00:42.0,20:40.0,320500,u,1071804a-6d12-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320500347402872876437504,LA320500346299046098374656,张家港保税区中久化学仪器贸易有限公司经营没有化学品安全技术说明书的危险化学品??张家港保税区中久化学仪器贸易有限公司,"USER3205354,USER3205353",监察大队,,WS320500347307909501161472,308112,USER3205323,,USER3205346,35:00.0,58:35.0,,2,1,26:26.0,26:26.0,320500,u,f3704d3c-b305-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500673113552566882304,LA320500669558351079673856,"江苏冠春新材料有限公司生产经营单位未采取措施消除事故隐患??江苏冠春新材料有限公??""USER320500649958190389137408","USER320500649943490385416192""",黎里镇综合执法局,,WS320500673113237545291776,5481508,USER320500669986972097318912,,USER320500447746803643715584,32:58.0,11:48.0,,2,320500,32:58.0,34:14.0,320500,i,f38dfab3-b91f-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320505578168532127191040,LA320505571987270488297472,鸿运精密模具（昆山）有限公司苏州高新区分公司未如实记录安全生产教育和培训情况??鸿运精密模具（昆山）有限公司苏州高新区分公司,"USER3205094,USER3205092",枫桥街道安监??,WS320505578168062608412672,953920,USER320500383257421998460928,,USER3205094,35:21.0,14:05.0,,2,320500,35:21.0,44:55.0,320500,i,e08b7fe3-eb3e-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320581581407746302152704,LA320581575674115571060736,新亿达毛绒（常熟）有限公司生产经营单位生产车间存在一台汽蒸机，现场发现传动装置未设置安全罩盖，违反操作规程生产经营场所车间西北侧存在安全出口，现场安全通道堵塞，未保持畅通，现场未设置紧急疏散通道标志生产经营单位车间内存在三台可燃气体探测器，未见定期检测报告未对安全设备进行定期检测案,"新亿达毛绒（常熟）有限公??""USER320500283986427308412928","USER320500283987543467233280""",海虞??,WS320581581406812478115840,1458117,USER320500283988850114564096,,USER320500283986861498568704,06:50.0,13:53.0,,2,320500,06:50.0,57:17.0,320500,u,5dd0d7c1-f251-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585448783396286500864,LA320585446976697049288704,太仓市华品装饰装潢有限公司生产经营单位安全设备的使用不符合国家标准或者行业标准案,"太仓市华品装饰装潢有限公??""USER3205420","USER3205421""",沙溪??,WS320585448782948817178624,695329,USER3205424,,USER320585396999375944945664,45:01.0,11:47.0,,2,320500,,,320500,u,255dfb43-157d-11ec-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500508234259958337536,LA320500507121072810758144,"优罗莎家具（昆山）有限公司未及时规范清理粉尘、未建立安全风险辨识管控制度??优罗莎家具（昆山）有限公??""USER3205371",17e991e2c56b4ad580da6385ceebb7e3,"USER320500498538206162063360""",其他执法人员,,WS320500508233191589416960,2456663,USER3205368,,USER320500283015477607796736,01:31.0,49:28.0,,2,320500,01:31.0,16:43.0,320500,u,36763068-5391-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500631458642599612416,LA320500627845810733715456,苏州雪铂莱五金制品有限公司及其从业人员违反操作规程作业案,郑宁,"USER320500437645997963743232,USER320500437646546725507072",苏州市相城区渭塘镇人民政??,WS320500631448670138535936,4858173,USER320500448781815260385280,,USER320500448782244308324352,51:13.0,13:38.0,,2,320500,51:13.0,23:29.0,320500,u,f078cafd-5ec1-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585801109506133069824,LA320585797099959412330496,"太仓市璜泾镇培良杂货店（经营者：李培良）未经许可经营烟花爆竹??太仓市璜泾镇培良杂货??""USER320500282818108480032768","USER320585454935807166255104""",三中??,WS320585801092867106803712,2090418,USER320585479284006546837504,,USER320500282818108480032768,23:11.0,11:24.0,,2,320500,23:11.0,20:43.0,320500,i,8ada1041-ce82-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320500507504389494149120,LA320500495549923207417856,苏州友腾光学科技有限公司安全设备的安装不符合国家标准??苏州友腾光学科技有限公司,"USER3205086MANUAL,USER3205079MANUAL",金鸡湖商务区安全生产监督管理局,,WS320500507223984987705344,2424628,USER3205006MANUAL,USER3205076MANUAL,USER3205074MANUAL,41:16.0,49:27.0,,2,320500,41:16.0,17:06.0,320500,u,e2bfb6ca-51fe-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
2c99fe847864c2d30178677ed46e0c64,2c99fe84780d35b90178103458ed0d08,苏州葑亮物业管理有限公司进行危险作业未按照规定履行职责案,苏州葑亮物业管理有限公司,2c99fe846d78d700016d78f816f40036,金鸡湖商务区,00:00.0,2c99fe847864c2d30178677ed46e0c64,,8a81e3b76abe7dbc016abe94b094000d,8a81e3b76abe7dbc016abe95ff0f000f,2c99fe846d78d700016d78f816f40036,12:20.0,48:19.0,2c99fe846d78d700016d78f816f40036,2,320500,,,320500,u,f3698701-b305-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500337992666870452224,LA320500327364999737511936,未将事故隐患排查治理情况如实记录或者未向从业人员通报,"常熟市景上毛绒纺织有限公??""USER320500283966300294746112","USER320500283966562426163200""",东南街道,,WS320500337641103605895168,235556,USER320500283965540211363840,,USER320500327486434418102272,22:12.0,58:35.0,,2,1,46:02.0,46:02.0,320500,u,f3701cd2-b305-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500520192066580385792,LA320500515522612244254720,昆山市千灯镇硕成金属制品加工厂未对安全设备进行定期检测案,"昆山市千灯镇硕成金属制品加工??""USER320500283063149605687296","USER320500283063763387551744""",千灯镇综合行政执法局,,WS320500520191927610511360,2663431,USER320500283064011837149184,,USER320500283062886438277120,57:34.0,32:02.0,,2,320500,57:34.0,57:59.0,320500,u,b7b9dde2-6d7f-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500813089549889572864,LA320500809854354700898304,苏州金爱思特精密机电有限公司未与承包单位签订专门的安全生产管理协议且未在承包合同中明确各自的安全生产管理职责??苏州金爱思特精密机电有限公司,"USER320500421238375480037376,USER3205025MANUAL,USER320500490173166946095104",高端制造与国际贸易区应急管理局,,WS320500811636633446125568,7805288,USER3205006MANUAL,USER3205024MANUAL,USER3205019MANUAL,47:36.0,11:12.0,,2,320500,47:36.0,04:21.0,320500,u,fe1827ae-e870-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500693028257494208512,LA320500689779766689009664,苏州闽达鸿电子科技有限公司未与承包单位签订专门的安全生产管理协议且未签订承包合同；进行危险作业，未安排专门人员进行现场安全管理??苏州闽达鸿电子科技有限公司,"USER320500281766324076548096,USER320500281765882139512832",凤凰镇综合行政执法局,,WS320500692382859385638912,5963316,USER320500408644955167264768,,USER320500281750587681280000,26:53.0,11:14.0,,2,320500,26:53.0,06:26.0,320500,i,0bdb4853-e458-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500712702572326031360,LA320500708714562978844672,苏州威屹智造科技有限公司未对承包单位的安全生产统一协调、管理案,苏州威屹智造科技有限公司,"USER3205071MANUAL,USER3205066MANUAL",苏州阳澄湖半岛旅游度假区应急管理局,,WS320500711140368711684096,6383584,USER3205006MANUAL,USER3205062MANUAL,USER3205057MANUAL,25:36.0,15:33.0,,2,320500,25:36.0,09:56.0,320500,u,f9cb76cd-0ec6-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500613005261983977472,LA320500610135275045130240,张家港市艾尔环保工程有限公司特种作业人员未经专门培训取得特种作业操作证上岗作业案,张家港市艾尔环保工程有限公司,"USER320500281743963797327872,USER320500483317590077214720",监察大队,,WS320500613000290869710848,4459792,USER3205323,,USER320500504700665809866752,44:05.0,14:24.0,,2,320500,44:05.0,49:00.0,320500,i,8180c0f5-36ae-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500831100640888360960,LA320500820588653876088832,吴江市振达体育用品厂生产经营场所锁闭安全出口??吴江市振达体育用品厂,"USER320500446746482834411520,USER320500785162257301508096",震泽镇综合执法局,,WS320500831097656406183936,8043526,USER320500758690571517693952,,USER320500466183594923003904,37:15.0,13:52.0,,2,320500,37:15.0,15:24.0,320500,i,801b24aa-0fbc-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500483934507871768576,LA320500480398850264141824,苏州蜂之巢汽车科技有限公司未将安全培训工作纳入本单位工作计划并保证安全培训工作所需资金??苏州蜂之巢汽车科技有限公司,"USER3205215,USER320500437646546725507072",苏州市相城区渭塘镇人民政??,WS320500483934184771948544,1901887,USER320500448781815260385280,,USER320500448782244308324352,42:59.0,49:07.0,,2,320500,42:59.0,15:36.0,320500,u,2292cbb3-1eeb-11ec-bc7f-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320500499898614227668992,LA320500498070537017233408,苏州绿嘉环保设备有限公司特种作业人员未按照规定经专门的安全作业培训并取得相应资格上岗作业??苏州绿嘉环保设备有限公司,"USER320500283045708154540032,USER320500432191383898427392",昆山开发区综合执法局,,WS320500499527206981079040,2228546,USER320500432191861927448576,,USER320500428557875955109888,58:38.0,49:19.0,,2,320500,58:38.0,30:47.0,320500,u,6940b3ea-417e-11ec-b626-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500858004550764728320,LA320500857550562437107712,"吴江市神州净化热缩有限公司未与租户签订专门的安全生产管理协议??吴江市神州净化热缩有限公??""dbb0c580-3cbf-4b66-a84b-f81d9d30c04d","USER320500649943490385416192""",黎里镇综合执法局,,WS320500857993770107408384,8369139,USER320500669986972097318912,,USER320500447746803643715584,23:47.0,14:14.0,,2,320500,23:47.0,24:23.0,320500,i,b7b38629-49e2-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500771370878351970304,LA320500759364399650574336,苏州市彩衣真空科技有限公司未按照规定对从业人员进行安全生产教育和培训案,苏州市彩衣真空科技有限公司,"USER320500324555212154998784,USER320500476806085261398016",苏州市相城区北桥街道办事??,WS320500771368928973688832,7355999,USER320500324554602080899072,USER320500583969300159664128,USER320500695993376679399424,52:30.0,12:46.0,,2,320500,52:30.0,03:39.0,320500,i,00421265-8e13-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585612259745339805696,LA320585608973919361175552,太仓美屋建筑科技有限公司未采取措施消除事故隐患案,太仓美屋建筑科技有限公司,"USER320585454934598560780288,USER320585581169019776667648",危化中队,,WS320585612254594935820288,1347938,USER320585479284006546837504,,USER3205404,21:40.0,14:21.0,,2,320500,21:40.0,12:24.0,320500,u,2ce4fe3d-351c-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320581818769796945416192,LA320581814785063609700352,"常熟市滨江热工机械设备有限公司特种作业人员未经专门培训取得特种作业操作证上岗作业??常熟市滨江热工机械设备有限公??""USER320581655352784123596800","USER320581759470934112342016""",莫城街道,,WS320581818768583147393024,2643631,USER3205273,,USER320505429203723726622720,58:53.0,10:48.0,,2,320500,58:53.0,50:30.0,320500,i,a2a3f98a-f503-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500611512265388068864,LA320500610111936603885568,昆山华高真空技术有限公司未按规定开展安全生产教育培训案,"昆山华高真空技术有限公??""USER320500283045708154540032","USER320500432192000452726784""",昆山开发区综合执法局,,WS320500611507430181834752,4436814,USER320500432191718444503040,,USER320500428558574952648704,51:26.0,08:18.0,USER320500428558574952648704,2,320500,09:02.0,10:35.0,320500,i,d83d26b5-3389-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
