立案-处罚裁量,立案对象id,"行政处罚类型 0：一般行政处罚案??1：重大行政处罚案??,当事人意??","承办人意??,总实际金??",数据导入类型，是否是本系统生成的数据 默认0 ,地区编码,操作类型,uuid,分类分级,加载时间,"行政处罚类型 0：一般行政处罚案??1：重大行政处罚案??,地区编码""",数据导入类型，是否是本系统生成的数据 默认0 _1,Column1,_2
LDIR320581579332505983782912,LA320581578572047282606080,0,,"1、“未按规定设置安全生产管理机构或者配备安全生产管理人员”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第三十二条应裁量为三档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正、通过安全生产标准化考评，带入公式计算为77500元，拟对其作出处??7500元罚款的行政处罚??2、“未为从业人员提供符合国家或行业标准的安全防护用品”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第一十三条应裁量为一档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正、通过安全生产标准化考评，带入公式计算为6000元，拟对其作出处??000元罚款的行政处罚??,83500.0000000000,320500""",320581,i,6b297da0-ed98-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,,
LDIR320500915526947809792000,LA320500906853330322460672,0,,“报告第79页表5.5-2重大事故隐患判定表中，张家港广大特材股份有限公司为机械行业，项目报告认定为冶金行业，重大事故隐患判定标准行业选用错误”依据《江苏省安全生产行政处罚自由裁量适用细则??null裁量说明为“安全评价报告存在法规标准引用错误、关键危险有害因素漏项、重大危险源辨识错误、对策措施建议与存在问题严重不符等重大疏漏，但尚未造成重大损失的”依据《江苏省安全生产行政处罚裁量权基准??第二部分第六章第一百三十二条应裁量为一档，纠违态度措施选择主要负责人‘逢查必考’中考试分数达到90分、立即采取措施纠正，代入公式计算??500元（贰仟伍佰元），拟对其作出??500元（贰仟伍佰元）罚款的行政处罚。，代入公式计算??500元（贰仟伍佰元），拟对其作出??500元（贰仟伍佰元）罚款的行政处罚??2500.0000000000,320500,320582,i,2d891466-cc52-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582,
LDIR320505972852421971677184,LA320505972802125769740288,0,,"1、“执法人员在一楼生产车间焊接区进行举报核查时，发现员工周崇宏和王标正在进行焊接作业，通过“特种作业操作证及安全生产知识和管理能力考核合格信息查询平台”查询，周崇宏的特种作业操作证已??025????6日过期，王标没有查询到相关证件信息”依据《江苏省安全生产行政处罚裁量权基准??应裁量为二档，纠违态度措施选择立即采取措施纠正、通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险，代入公式计算为50000元（伍万元），拟对其作出??0000元（伍万元）罚款的行政处罚??,50000.0000000000,320500""",320505,i,456f4c00-42f9-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320505,,
LDIR320505919539200032772096,LA320505910916005415358464,1,,"1、“?生产经营单位将生产经营项目发包的，未对承包方的高处作业现场进行安全检查，未发现承包方高处作业人员无高处作业证及未佩戴劳动防护用品，未如实记录检查情况，刘丰田是直接负责的主管人员”依据《江苏省安全生产行政处罚裁量权基准??第二部分第一章第二十四条应裁量为二档：“未履行《江苏省安全生产条例》第三十条第一款第一项、第三项、第四项任意一项职责的，责令限期改正，??.85万元以上3.65万元以下的罚款，对其直接负责的主管人员和其他直接责任人员??700元以??300元以下的罚款；逾期未改正的，责令停产停业整顿”，纠违态度措施选择主要负责人‘逢查必考’中考试分数达到90分、立即采取措施纠正，未选择通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业投保安全生产责任保险、积极组织或支持安全生产公益活动，代入公式计算为5500元（伍仟伍佰元），拟对其作出??500元（伍仟伍佰元）罚款的行政处罚??,5500.0000000000,320500""",320583,i,84ca217d-d29b-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583,,
LDIR320500758608385535905792,LA320500756425885988425728,1,,"1、“生产经营单位的主要负责人未履行《中华人民共和国安全生产法》规定的安全生产管理职责（未导致发生生产安全事故的）”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正、是否通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险、是否积极组织或支持安全生产公益活动，代入公式计算为20000元（贰万元），拟对其作出??0000元（贰万元）罚款的行政处罚??,20000.0000000000,320500""",320582,i,42a04df9-7290-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582,,
LDIR320500408974090888548352,LA320500398124475712802816,0,,,10000,320500,320582,i,12cf5472-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582
LDIR320506428663932903755776,LA320506426711913720713216,0,,,38750,320500,320506,i,166cfd9e-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320506
LDIR320500774223963713703936,LA320500769127960304160768,1,,"1、“生产经营单位的其他负责人和安全生产管理人员未履行《中华人民共和国安全生产法》规定的安全生产管理职责（未导致发生生产安全事故的）”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第三条应裁量为一档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正，代入公式计算??3000元（壹万叁仟元），拟对其作出??3000元（壹万叁仟元）罚款的行政处罚??,13000.0000000000,320500""",320582,i,5c6d04a5-945a-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582,,
LDIR320500505778414016270336,LA320500505768540209418240,1,,"1??生产经营单位生产、经营、运输、储存、使用危险物品或者处置废弃危险物品的，未建立专门安全管理制度、未采取可靠的安全措??""依据《江苏省安全生产行政处罚自由裁量适用细则》应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正、是否通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险，带入公式计算为23750元，拟对其作出处??3750元罚款的行政处罚??",23750,320500,320509,i,a5256871-992b-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320509
LDIR320500825697567118462976,LA320500818797954348355584,0,,"1、“未将事故隐患排查治理情况如实记录，且未向从业人员通报”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第四条应裁量为二档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正，代入公式计算??5000元（柒万伍仟元），拟对其作出??5000元（柒万伍仟元）罚款的行政处罚??2、“生产经营单位安全设备的安装、使用、检测、改造和报废不符合国家标准或者行业标准”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第一十条应裁量为一档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正，代入公式计算??000元（玖仟元），拟对其作出??000元（玖仟元）罚款的行政处罚??,84000.0000000000,320500""",320571,i,d64926d3-03ef-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320571,,
LDIR320500523134551841574912,LA320500520609809188261888,0,,"1、“抽查到2021????日以后新入职员工三级教育培训记录，未按照规定对从业人员（王德财、郑玉琴、潘成荣共三名员工）进行安全生产教育和培训”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第五章第一百零三条应裁量为二档，纠违态度措施选择是否对违法行为认识到位、是否通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险??带入公式计算??0000元，拟对其作出处??0000元罚款的行政处罚??2、“见2021????1日安全生产检查问题整改计划，未见2021??月??月??0月??1月??2月份事故隐患排查治理记录，未将事故隐患排查治理情况如实记录”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第四条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险??""带入公式计算??0000元，拟对其作出处??0000元罚款的行政处罚??",80000,320500,320583,i,fe251d8f-992b-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583
LDIR320505441630809816829952,LA320505437624382081208320,0,,,50000,320500,320581,i,aa546475-a450-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581
LDIR320585417350052176990208,LA320585417341956226551808,0,,按照《江苏省安全生产行政处罚自由裁量适用细则》的规定进行处罚裁量,25000,320500,320585,i,166e4056-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585
LDIR320500347404640930762752,LA320500347317122260537344,0,,未按照规定对从业人员进行安全生产教育和培训，处罚档次三档：未按照规定进行安全生产教育和培训，或者未按照规定如实告知有关的安全生产事项，涉及人数??10人以上的。裁量幅度：三档：责令限期改正，对生产经营单位处 3.5万元以上 5万元以下的罚款；逾期未改正的，责令停产停业整顿，对生产经营单位处 8.5万元以上 10万元以下的罚款，对其直接负责的主管人员和其他直接责任人员??1.7万元以上 2万元以下的罚款。企业对违法行为认识到位，立即采取整改措施，减轻系数 0.5，对该违法行为处??42500元罚??生产经营单位未将事故隐患排查治理情况如实记录；处罚档次：一档：未将事故隐患排查治理情况如实记录，或未向从业人员通报的；裁量幅度：一档：责令限期改正，对生产经营单位可以??2.5万元以下的罚款；逾期未改正的，责令停产停业整顿，对生产经营单位处 5万元以上 7.5万元以下的罚款，对其直接负责的主管人员和其他直接责任人员??1万元以上 1.5万元以下的罚款；企业对违法行为认识到位，立即采取整改措施，减轻系??0.5，对该违法行为处??12500元罚??12500.0000000000,320500,320582,i,12cc4165-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582,
LDIR320500699928429046272000,LA320500698815856800436224,0,,"2023 ??5 ??11 日，花桥综合行政执法局执法人员对新生路 38 号匠音家居（昆山）有限公司进行检查时发现，该公司员工赵桦驾驶叉车未按规定佩戴安全帽、安全带违反操作规程，违法操作规程的人数??1 人；依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第三十八条应裁量为一档，鉴于你对违法行为认识到位并立即采取措施纠正，系统裁量金额代入公式计算??3000元（壹万叁仟元）(S1=1.6-??.6-1??2/4=1.30万元)，拟对匠音家居（昆山）有限公司作出处??3000元（壹万叁仟元）罚款的行政处罚??,13000.0000000000,320500""",320583,i,65e284ca-f40d-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583,,
LDIR320581954423700273238016,LA320581951145536574984192,0,,"1、??025??1??3日，常熟市众力电器配件有限责任公司从业人员周伟英（身份证号：320921197710255989），在公司冲压车间操作冲压机时用手部投放零件，不慎被压到右手指。”依据《江苏省安全生产行政处罚裁量权基准??第二部分第一章第三十七条应裁量为一档，纠违态度措施选择立即采取措施纠正、通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险、积极组织或支持安全生产公益活动，代入公式计算为11500元（壹万壹仟伍佰元），拟对其作出??1500元（壹万壹仟伍佰元）罚款的行政处罚??,11500.0000000000,320500""",320581,i,b7525e83-1ae6-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,,
LDIR320500324578580119949312,LA320500320481968456208384,0,,,53750,320500,320581,i,12ca2be4-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581
LDIR320500893850784230281216,LA320500892762700944248832,1,,"1、“你单位未对承包方（浙江畅澜电力科技有限公司台州分公司）的安全生产工作统一协调、管理，未定期进行安全检查，其直接负责的主管人员是叶巧平”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十六条应裁量为二档，鉴于你所在单位立即采取措施纠正、支持安全生产公益活动、主要负责人考试达到90分，代入公式（S2=36500-(36500-18500)*3/4=23000）计算为4600元（肆仟陆佰元），拟对其作出??600元（肆仟陆佰元）罚款的行政处罚??,4600.0000000000,320500""",320582,i,19b4709c-9c63-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582,,
LDIR320500903288363748954112,LA320500901859377353330688,1,,"1、“未与承租单位签订专门的安全生产管理协议，未在租赁合同中明确各自的安全生产管理职责”依据《江苏省安全生产行政处罚裁量权基准??第二部分第一章第二十四条应裁量为一档，纠违态度措施选择主要负责人‘逢查必考’中考试分数达到90分、立即采取措施纠正，代入公式计算??350元（贰仟叁佰伍拾元），拟对其作出??350元（贰仟叁佰伍拾元）罚款的行政处罚??,2350.0000000000,320500""",320582,i,6ab05d6f-ac1a-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582,,
LDIR320585711531431100157952,LA320585711216970556510208,0,,"1、“你单位将厂房租赁给太仓志云化纤有限公司，与太仓志云化纤有限公司的法定代表人钱锦昌签订有房产租赁协议（出租时间：2022??1??日起，至2023??0??1日），但未在房产租赁协议中明确各自的安全生产管理职责，也未签订专门的安全管理协议”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十二条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，代入公式计算??000元（玖仟元），拟对其作出处罚9000元（玖仟元）罚款的行政处罚??,9000.0000000000,320500""",320585,i,85d9e8fb-0c69-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585,,
LDIR320500654764031504027648,LA320500633318807984672768,1,,"1、“夜查时，企业一号车间生产，主要负责人不在位，现场发现清花机员工睡岗，纺纱车??人以女工未佩戴工作帽和防噪耳塞，存在违反操作规程或者安全管理规定作业”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第三十八条应裁量为三档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正、是否积极组织或支持安全生产公益活动，代入公式计算为7975元（柒仟玖佰柒拾伍元），拟对其作出处??975元（柒仟玖佰柒拾伍元）罚款的行政处罚??,7975.0000000000,320500""",320509,i,af2fedf5-a966-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320509,,
LDIR320585862268026873974784,LA320585861216322447478784,0,,"1、“你单位木工车间北侧位置的一个配电箱的盖板缺失，你单位安全设备的安装、使用不符合国家标准。（GB15606-2008木工(??车间安全生产通则8）”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第一十条应裁量为一档，纠违态度措施选择立即采取措施纠正，代入公式计算为12000元（壹万贰仟元），拟对其作出??2000元（壹万贰仟元）罚款的行政处罚??,12000.0000000000,320500""",320585,i,bf10f1f4-534e-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585,,
LDIR320505566300467135516672,LA320505566256352255545344,0,,"1、“未按规定对2022年新入职员工魏燕红进行安全生产教育和培训”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第五章第一百零三条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正、是否通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险，带入公式计算为12000元，拟对其作出处??2000元罚款的行政处罚??,12000.0000000000,320500""",320505,i,73916e13-d605-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320505,,
LDIR320585414747098324406272,LA320585412972915017912320,0,,,12500,320500,320585,i,166df117-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585
LDIR320585889084823904194560,LA320585887720739338194944,1,,"1、??024??0??7日，你单位员工张廷霞??42625197504050568）违反《热管作业指导书》操作二次除气机导致手指受伤，你单位员工张廷霞违反操作规程作业”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第三十九条应裁量为一档，纠违态度措施选择立即采取措施纠正、主要负责人考试达到90分，代入公式计算??350元（贰仟叁佰伍拾元），拟对其作出??350元（贰仟叁佰伍拾元）罚款的行政处罚??,2350.0000000000,320500""",320585,i,f5eeaa04-8d74-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585,,
LDIR320500702467550721609728,LA320500700633086458597376,0,,“生产经营单位未对承包单位的安全生产统一协调、管理（甲方苏州共利纺织整理有限公司委托乙方吴江区中意工业设备安装部进行工业管道改造时，未对现场作业人员姚宝如的焊工作业资格证进行确认，姚宝如仅提供菏泽市建筑机械行业协会的焊工培训证，未取得应急管理部门发的焊工特种作业操作证，直接责任人系胡峰）”，依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十二条应裁量为二档，裁量因子选择对违法行为认识到位、立即采取措施纠正、未通过安全生产标准化考评且法律规定应当投保安全生产责任保险以外的其他企业未投保安全生产责任保险、未积极组织且未支持安全生产公益活动，建议给予苏州共利纺织整理有限公司人民币贰万伍仟元罚款的行政处罚（S2=3.5-??.5-1.5??2/4=2.5万元）??25000.0000000000,320500,320509,i,63df93ae-f8c4-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320509,
LDIR320500891321698228375552,LA320500888376738151665664,1,,"1、“生产经营单位及其主要负责人或者其他人员违章指挥从业人员或者强令从业人员违章、冒险作业”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第四十条应裁量为一档，纠违态度措施选择立即采取措施纠正、通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险、主要负责人考试达到90分，代入公式计算??675元（壹仟陆佰柒拾伍元），拟对其作出处1675元（壹仟陆佰柒拾伍元）罚款的行政处罚??,1675.0000000000,320500""",320571,i,f40ac62b-922b-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320571,,
LDIR320500420184815006912512,LA320500420164815076462592,0,,,100000,320500,320509,i,12d045c9-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320509
LDIR320581591569465020256256,LA320581585604694546583552,0,,,18000,320500,320581,i,daa032ad-0851-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581
LDIR320500862693199989182464,LA320500858374253018353664,0,,“生产经营单位未与承包单位、承租单位签订专门的安全生产管理协议或者未在承包合同、租赁合同中明确各自的安全生产管理职责，或者未对承包单位、承租单位的安全生产统一协调、管理”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十六条应裁量为二档，纠违态度措施选择立即采取措施纠正，代入公式计算为32000元（叁万贰仟元），拟对其作出??2000元（叁万贰仟元）罚款的行政处罚??32000.0000000000,320500,320583,i,17b259eb-54e1-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583,
LDIR320500847124103516131328,LA320500845298901564002304,0,,"1、“生产经营单位未与承包单位、承租单位签订专门的安全生产管理协议或者未在承包合同、租赁合同中明确各自的安全生产管理职责，或者未对承包单位、承租单位的安全生产统一协调、管理”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十六条应裁量为二档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正、通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险、积极组织或支持安全生产公益活动，代入公式计算为18500元（壹万捌仟伍佰元），拟对其作出??8500元（壹万捌仟伍佰元）罚款的行政处罚??,18500.0000000000,320500""",320582,i,d212c086-324d-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582,,
LDIR320585465540814597001216,LA320585464485123908177920,0,,,15000,320500,320585,i,ab02dd33-09b3-11ec-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585
LDIR320500521280081314713600,LA320500520605927271829504,0,,"1、“生产经营单位未将事故隐患排查治理情况如实记录”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第四条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，""带入公式计算??0000元，拟对其作出处??0000元罚款的行政处罚??,30000.0000000000,320500""",320571,i,fe251ab5-992b-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320571,,
LDIR320500510155025348038656,LA320500502475384466444288,0,,1、“生产经营单位未将事故隐患排查治理情况如实记录”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第四条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正、是否通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险??带入公式计算??0000元，拟对其作出处??0000元罚款的行政处罚??,20000,320500,320507,i,fe13053b-992b-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320507
LDIR320500706544680837320704,LA320500702946145512460288,0,,"1、“生产主管安排无电焊作业操作证作业人员（刘伟兵）进行电弧焊作业”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第三十九条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，代入公式计算??3000元（壹万叁仟元），拟对其作出处罚13000元（壹万叁仟元）罚款的行政处罚??,13000.0000000000,320500""",320571,i,3571d468-0169-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320571,,
LDIR320500550330236382744576,LA320500548450688036769792,0,,"1、“生产经营单位未建立事故隐患排查治理制度”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第一十九条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，带入公式计算??8000元，拟对其作出处??8000元罚款的行政处罚??2、“生产经营单位未将安全培训工作纳入本单位工作计划并保证安全培训工作所需资金”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第五章第一百零六条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，带入公式计算??3000元，拟对其作出处??3000元罚款的行政处罚??,31000.0000000000,320500""",320507,i,761fce57-aeb8-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320507,,
LDIR320500811617009321119744,LA320500811612491753721856,0,,"1、“生产经营单位未为从业人员提供符合国家标准或者行业标准的劳动防护用品”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第一十三条应裁量为一档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正，代入公式计算??000元（玖仟元），拟对其作出??000元（玖仟元）罚款的行政处罚??,9000.0000000000,320500""",320583,i,60057029-e54a-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583,,
LDIR320500585775801518002176,LA320500581416064282267648,0,,“未为从业人员提供符合国家标准的劳动防护用品，有3人以下的”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第十一章第二百五十九条应裁量为一档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正，带入公式计算??000元（玖仟元），拟对其作出处罚9000元（玖仟元）罚款的行政处罚??9000.0000000000,320500,320582,i,655cb787-fbbd-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582,
LDIR320500409642934678327296,LA320500393059193893949440,0,,,25000,320500,320507,i,12cf2601-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320507
LDIR320500597085564717502464,LA320500594529601561038848,0,,"1、“生产经营单位未在有较大危险因素的生产经营场所和有关设施、设备上设置明显的安全警示标志”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第九条应裁量为一档，纠违态度措施选择是否立即采取措施纠正，带入公式计算为12000元（壹万贰仟元），拟对其作出处罚12000元（壹万贰仟元）罚款的行政处罚??,12000.0000000000,,320583""",i,860c6615-1419-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583,,,
LDIR320500860510823410307072,LA320500858326065938960384,1,,"1、“生产经营单位的主要负责人未履行《中华人民共和国安全生产法》规定的安全生产管理职责（未导致发生生产安全事故的）”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二条应裁量为一档，纠违态度措施选择立即采取措施纠正、通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险、积极组织或支持安全生产公益活动、主要负责人考试达到90分，代入公式计算??0000元（贰万元），拟对其作出??0000元（贰万元）罚款的行政处罚??,20000.0000000000,320500""",320582,i,eab05b49-4f60-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582,,
LDIR320500428578702658375680,LA320500426338586921537536,0,,,30000,320500,320571,i,12d0c7fb-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320571
LDIR320500570925839714095104,LA320500570540651813277696,0,,"“生产经营单位使用危险物品或者处置废弃危险物品的，未采取可靠的安全措??爆炸危险场所油墨调色间工作台处电风扇、烧水壶、插座非防爆，爆炸危险场所混合搅拌甲醇、糊粉的搅拌机区域电机非防爆,未采取可靠的防爆措施)”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第一十六条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，带入公式计算??0000元，拟对其作出处??0000元罚款的行政处罚??,30000.0000000000,320500""",320509,i,9c525a84-db85-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320509,,
LDIR320581972082871403548672,LA320581970253583977025536,0,,"1、“河南濡凯建设工程有限公司工作人员卓先雷未佩戴安全帽进行作业”依据《江苏省安全生产行政处罚裁量权基准??第二部分第一章第三十七条应裁量为一档，纠违态度措施选择主要负责人‘逢查必考’中考试分数达到90分、立即采取措施纠正、积极组织或支持安全生产公益活动，代入公式计算为11500元（壹万壹仟伍佰元），拟对其作出??1500元（壹万壹仟伍佰元）罚款的行政处罚??,11500.0000000000,320500""",320581,i,f0782546-4166-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,,
LDIR320585495620539335839744,LA320585495514212584394752,0,,"1??你单位未将安全风险管控纳入年度安全生产教育培训计??""依据《江苏省安全生产行政处罚自由裁量适用细则》应裁量为一档，纠违态度措施选择是否通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险，带入公式计算为18750元，拟对其作出处??8750元罚款的行政处罚??",18750,320500,320585,i,aab58ee6-a450-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585
LDIR320581896392583901614080,LA320581895695135893884928,1,,1、??.常熟市浩东电子器件厂??022??1??0日将常熟市辛庄镇辛庄大道1315号房??楼约2000平方米厂房出租给苏州珠琳服饰有限公司用于仓库使用。租??60元每平方米，年租??20000元，租赁期限??022??1??0日至2025????0日；,,,,,,,,,
2.常熟市浩东电子器件厂与苏州珠琳服饰有限公司未在租赁合同中明确各自的安全生产管理职责，未签订专门的安全生产管理协议??3.常熟市浩东电子器件厂未书面告知苏州珠琳服饰有限公司一栋货梯基本情况和安全生产要求??4.常熟市浩东电子器件厂未对苏州珠琳服饰有限公司仓库进行安全生产检查，无书面的安全检查记录。”依据《江苏省安全生产行政处罚裁量权基准??第二部分第一章第二十四条应裁量为二档，纠违态度措施选择立即采取措施纠正、通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险、积极组织或支持安全生产公益活动，代入公式计算为4600元（肆仟陆佰元），拟对其作出??600元（肆仟陆佰元）罚款的行政处罚??,4600,"320500""""""",320581,i,445cc4d2-9d2c-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,,,,
LDIR320500702567661812322304,LA320500701380140344545280,1,,"1、“锁闭生产经营场所安全出口”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十五条应裁量为二档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正、是否积极组织或支持安全生产公益活动，代入公式计算为4000元（肆仟元），拟对其作出处罚4000元（肆仟元）罚款的行政处罚??,3000.0000000000,320500""",320571,i,63dfa1d1-f8c4-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320571,,
